,Address,Area,Beds,Full Bath,Half Bath,Locality,Lot Size,price
0,"$725,000",,,,,0 Gateway,,"Rock Springs, WY 82901"
1,"$452,900",,4,4,,1003 Winchester Blvd.,0.21 Acres,"Rock Springs, WY 82901"
2,"$396,900","3,154",5,3,,600 Talladega,,"Rock Springs, WY 82901"
3,"$389,900","3,076",4,3,1,3239 Spearhead Way,"Under 1/2 Acre, ","Rock Springs, WY 82901"
4,"$254,000","1,172",3,3,,522 Emerald Street,"Under 1/2 Acre, ","Rock Springs, WY 82901"
5,"$252,900","1,932",4,2,,1302 Veteran's Drive,0.27 Acres,"Rock Springs, WY 82901"
6,"$210,000","1,676",4,3,,1021 Cypress Cir,"Under 1/2 Acre, ","Rock Springs, WY 82901"
7,"$209,000","1,344",3,2,,913 Madison Dr,"Under 1/2 Acre, ","Rock Springs, WY 82901"
8,"$199,900","1,920",3,2,,1344 Teton Street,"Under 1/2 Acre, ","Rock Springs, WY 82901"
9,"$196,900","1,664",3,2,,4 Minnies Lane,2.02 Acres,"Rock Springs, WY 82901"
10,"$1,700,000","2,560",,,,9339 Sd 26900,,"Rocksprings, TX 78880"
11,"$1,100,000","2,000",,,,RR674P13 Hwy 377,,"Rocksprings, TX 78880"
12,"$1,080,000",,,,,0 Hwy 41,,"Rocksprings, TX 78880"
13,"$908,350","2,560",,,,9339 Sd 26900,,"Rocksprings, TX 78880"
14,"$905,000",,,,,CR450 Hwy 377,,"Rocksprings, TX 78880"
15,"$695,000","1,398",,,,Cr 240 Cr 240,,"Rocksprings, TX 78880"
16,"$605,000","1,738",,,,RR674 Hwy 377,,"Rocksprings, TX 78880"
17,"$559,805","1,080",,,,9770a Sd 26900,,"Rocksprings, TX 78880"
18,"$504,000",,,,,Lot17 CR 2630,,"Rocksprings, TX 78880"
19,"$410,000",,,,,"Tr12,16 CR 520",,"Rocksprings, TX 78880"
20,"$299,900","2,318",3,2,,32575 S Shadow Mountain Road,,"Black Canyon City, AZ 85324"
21,"$167,500","2,120",3,2,,32750 S Shangrila Drive,,"Black Canyon City, AZ 85324"
22,"$150,000",,,,,0000 Black Canyon Highway,5 Acres,"Black Canyon City, AZ 85324"
23,"$129,500","1,220",3,2,,34775 S CHOLLA Drive,,"Black Canyon City, AZ 85324"
24,"$129,000","2,000",4,2,,33403 S. HA-WA-SI TERRACE,,"BLACK CANYON CITY, AZ 85324"
25,"$80,000","2,260",5,2,,34263 S Bertha Street,,"Black Canyon City, AZ 85324"
26,"$77,900","1,248",3,2,,33160 S Canyon Road,,"Black Canyon City, AZ 85324"
27,"$70,500","1,404",3,2,,19421 E Todd Evans Road,,"Black Canyon City, AZ 85324"
28,"$70,000",,,,,18688 E AGUA Vista,0.7 Acres,"Black Canyon City, AZ 85324"
29,"$67,500",,,,,50600 N Old Black Canyon Road,3 Acres,"Black Canyon City, AZ 85324"
30,"$54,900",,,,,20101 E SQUAW VALLEY Road,,"Black Canyon City, AZ 85324"
31,"$45,600","1,056",3,1,,33259 S Canyon Road,,"Black Canyon City, AZ 85324"
32,"$40,000",784,2,1,,34558 S ROADRUNNER RD,Under 1/2 Acre,"Black Canyon City, AZ 85324"
33,"$30,000",,,,,19260 E Scenic Loop Road,2.35 Acres,"Black Canyon City, AZ 85324"
34,"$29,000",,,,,19000 E MAREN Avenue,2.05 Acres,"Black Canyon City, AZ 85324"
35,"$28,995",,,,,19350 E SAGUARO Drive,0.73 Acres,"Black Canyon City, AZ 85324"
36,"$15,000",,,,,20650 E Amethyst Place,0.31 Acres,"Black Canyon City, AZ 85324"
